ID,x,y
1,2.3,3.0
2,2.5,6.0
3,2.3,9.0
4,2.5,12.0
5,2.3,15.0
6,6.0,1.5
7,8.0,4.5
8,6.0,7.5
9,8.0,10.5
10,6.0,13.5
11,2.5,18.0
12,2.3,21.0
13,2.5,24.0
14,2.3,27.0
15,8.0,16.5
16,6.0,19.5
17,8.0,22.5
18,6.0,25.5
19,8.0,28.5
20,9.0,29.25
21,2.5,30.0
22,2.3,33.0
23,2.5,36.0
24,2.3,39.0
25,2.5,42.0
26,6.0,31.5
27,8.0,34.5
28,6.0,37.5
29,8.0,40.5
30,6.0,43.5
31,2.3,45.0
32,2.5,48.0
33,2.3,51.0
34,2.5,54.0
35,2.3,57.0
36,8.0,46.5
37,6.0,49.5
38,8.0,52.5
39,6.0,55.5
40,8.0,58.5
41,2.5,60.0
42,2.3,63.0
43,2.5,66.0
44,2.3,69.0
45,2.5,72.0
46,6.0,61.5
47,8.0,64.5
48,6.0,67.5
49,8.0,70.5
50,6.0,73.5
51,-2.3,3.0
52,-2.5,6.0
53,-2.3,9.0
54,-2.5,12.0
55,-2.3,15.0
56,-3.5,1.5
57,-4.5,4.5
58,-3.5,7.5
59,-4.5,10.5
60,-3.5,13.5
61,-2.5,18.0
62,-2.3,21.0
63,-2.5,24.0
64,-2.3,27.0
65,-4.5,16.5
66,-3.5,19.5
67,-4.5,22.5
68,-3.5,25.5
69,-4.5,28.5
70,-5.2,29.25
71,-2.5,30.0
72,-2.3,33.0
73,-2.5,36.0
74,-2.3,39.0
75,-2.5,42.0
76,-3.5,31.5
77,-4.0,34.5
78,-3.5,37.5
79,-4.5,40.5
80,-3.5,43.5
81,-2.3,45.0
82,-2.5,48.0
83,-2.3,51.0
84,-2.5,54.0
85,-2.3,57.0
86,-4.5,46.5
87,-3.5,49.5
88,-4.5,52.5
89,-3.5,55.5
90,-4.5,58.5
91,-2.5,60.0
92,-2.3,63.0
93,-2.5,66.0
94,-2.3,69.0
95,-2.5,72.0
96,-3.5,61.5
97,-4.5,64.5
98,-3.5,67.5
99,-4.5,70.5
100,-3.5,73.5
